ID,name,sort.name,Gender
7388,Drew Pearson,"Pearson, Drew",Male
7061,"Sir Henry Lancelot Aubrey-Fletcher, 6th Baronet / Henry Wade (pseudonym)","Wade, Henry",Male
5809,Gerald Heard,"Heard, Gerald",Male
7055,Benjamin Constant,"Constant, Benjamin",Male
7331,Granville Hicks,"Hicks, Granville",Male
7293,C. Hartley Grattan,"Grattan, C. Hartley",Male
10350,Max Plowman,"Plowman, Max",Male
6883,George Peele,"Peele, George",Male
6220,Allen Wilson Porterfield,"Porterfield, Allen Wilson",Male
10422,Seward Collins,"Collins, Seward",Male
5709,Charles Henri Ford,"Ford, Charles Henri",Male
5889,Vincent Starrett,"Starrett, Vincent",Male
6694,William Roughead,"Roughead, William",Male
7155,Christopher St. John Sprigg / Christopher Caudwell (pseudonym),"Caudwell, Christopher",Male
10456,Abbe Niles,"Niles, Abbe",Male
10203,Alfred Allinson,"Allinson, Alfred",Male
7062,Conal O'Riordan,"O'Riordan, Conal",Male
8042,Geoffrey Moss,"McNeill-Moss, Geoffrey",Male
456,Samuel Rogers,"Rogers, Samuel",Male
6938,Joseph Collins,"Collins, Joseph",Male
6194,Alfred Gordon Bennett,"Bennett, Alfred Gordon",Male
587,Ernest Walsh,"Walsh, Ernest",Male
7717,Richard Abbe,"Abbe, Richard",Male
7115,Vernon Loder,"Loder, Vernon",Male
5518,P. G. Wodehouse,"Wodehouse, P. G.",Male
7940,Arthur Mitchell,"Mitchell, Arthur",Male
7761,James M. Cain,"Cain, James M.",Male
6111,Erskine Caldwell,"Caldwell, Erskine Preston",Male
5404,Jack London,"London, Jack",Male
5412,William Butler Yeats,"Yeats, William Butler",Male
5932,William Sydney Porter / O. Henry,"Henry, O.",Male
5993,James T. Farrell,"Farrell, James T.",Male
8386,Fulke Greville,"Greville, Fulke",Male
6755,G. Wilson Knight,"Knight, George Wilson",Male
6437,Walter Savage Landor,"Landor, Walter Savage",Male
5766,Louis MacNeice,"MacNeice, Louis",Male
6278,Edward Dahlberg,"Dahlberg, Edward",Male
8168,James Abbott McNeill Whistler,"Whistler, James McNeill",Male
6034,Stephen Langdon,"Langdon, Stephen Herbert",Male
7495,Oliver La Farge,"La Farge, Oliver",Male
6067,Max Aitken Beaverbrook,"Beaverbrook, Max Aitken",Male
10412,Alfred Vallette,"Vallette, Alfred",Male
6960,Robert Eustace,"Eustace, Robert",Male
7869,Michel Vaucaire,"Vaucaire, Michel",Male
7111,Stopford Augustus Brooke,"Brooke, Stopford Augustus",Male
7173,Hulbert Footner,"Footner, Hulbert",Male
6430,Rainer Maria Rilke,"Rilke, Rainer Maria",Male
6377,Régis Michaud,"Michaud, Régis",Male
10561,Lance Sieveking / Lancelot De Giberne Sieveking,"Sieveking, Lance",Male
10032,Arthur Elson,"Elson, Arthur",Male
10398,Melvin P. Levy,"Levy, Melvin P.",Male
9811,H. E. Krehbiel,"Krehbiel, H. E.",Male
6176,John St. Loe Strachey,"Strachey, John St. Loe",Male
10354,Simon Wilkin,"Wilkin, Simon",Male
10029,Peter Neagoe,"Neagoe, Peter",Male
7466,Norman Lindsay,"Lindsay, Norman",Male
7867,John Russell,"Russell, John",Male
6650,Lewis Saul Benjamin / Lewis Melville (pseudonym),"Melville, Lewis",Male
9705,David Saville Muzzey,"Muzzey, David Saville",Male
10394,Philip E. Wheelwright,"Wheelwright, Philip E.",Male
8226,Humphry House,"House, Humphry",Male
6158,Ralph Fox,"Fox, Ralph",Male
7959,Herbert Roese,"Roese, Herbert",Male
8228,Derek Verschoyle,"Verschoyle, Derek",Male
10484,J. J. Bell,"Bell, J. J.",Male
10817,Herbert Trench,"Trench, Herbert",Male
8111,Gabriele d'Annunzio,"d'Annunzio, Gabrielle",Male
7481,Jules Barbey d'Aurevilly,"Barbey d'Aurevilly, Jules",Male
6354,André Breton,"Breton, André",Male
5681,Padraic Colum,"Colum, Padraic",Male
7404,Karl Marx,"Marx, Karl",Male
7103,Denis de Rougemont,"Rougemont, Denis de",Male
6410,Italo Svevo,"Svevo, Italo",Male
6466,Benjamin Disraeli,"Disraeli, Benjamin",Male
7349,Peter Fleming,"Fleming, Peter",Male
5636,Arnold Bennett,"Bennett, Arnold",Male
10176,Ernst Robert Curtius,"Curtius, Ernst Robert",Male
7176,John Lyly,"Lyly, John",Male
5836,A. E. Housman,"Housman, A. E.",Male
6035,Anatole France,"France, Anatole",Male
7224,Edward Young,"Young, Edward",Male
6019,Hans Christian Andersen,"Andersen, Hans Christian",Male
8208,L. Frank Baum,"Baum, L. Frank",Male
8244,William Beckford,"Beckford, William",Male
9832,Quentin Bell,"Bell, Quentin",Male
7244,John Morley,"Morley, John",Male
7336,Joseph Wood Krutch,"Krutch, Joseph Wood",Male
7826,Alphonse Daudet,"Daudet, Alphonse",Male
10306,Arthur Hobson Quinn,"Quinn, Arthur Hobson",Male
5664,Richard Hughes,"Hughes, Richard",Male
2757,Lincoln Kirstein,"Kirstein, Lincoln",Male
7994,Francis Beaumont,"Beaumont, Francis",Male
6905,Thomas Paine,"Paine, Thomas",Male
5615,Johan Bojer,"Bojer, Johan",Male
8059,Sidney Dark,"Dark, Sidney",Male
7876,Georg Brandes,"Brandes, Georg",Male
7848,Herbert Hughes,"Hughes, Herbert",Male
5507,Theodore Dreiser,"Dreiser, Theodore",Male
5420,Herbert Asbury,"Asbury, Herbert",Male
6628,Isaac Rosenberg,"Rosenberg, Isaac",Male
6155,Richard Boleslavski,"Boleslavski, Richard",Male
6910,Alfred W. Pollard,"Pollard, Alfred W.",Male
6792,David Nichol Smith,"Smith, David Nichol",Male
5818,Samuel Butler,"Butler, Samuel",Male
6161,A. S. M. Hutchinson,"Hutchinson, A. S. M.",Male
6394,Francis Marion Crawford,"Crawford, Francis Marion",Male
6303,Gerald Gould,"Gould, Gerald",Male
7686,Charles Williams,"Williams, Charles",Male
3944,Robert Briffault,"Briffault, Robert",Male
5811,Floyd Dell,"Dell, Floyd",Male
10567,Paul Elmer More,"More, Paul Elmer",Male
9820,James Henry Breasted,"Breasted, James Henry",Male
9740,Gerald O'Donovan,"O'Donovan, Gerald",Male
7928,Forrest Reid,"Reid, Forrest",Male
7971,William Winwood Reade,"Reade, William Winwood",Male
10565,G. Stanley Hall,"Hall, G. Stanley",Male
7297,Robert Spencer Carr,"Carr, Robert Spencer",Male
6231,A. A. Brill,"Brill, A. A.",Male
5508,J. W. N. Sullivan,"Sullivan, J. W. N.",Male
10341,Harold Ross,"Ross, Harold",Male
6561,C. Willett Cunnington,"Cunnington, C. Willett",Male
6319,E. K. Chambers,"Chambers, E. K.",Male
5855,Carl Van Vechten,"Van Vechten, Carl",Male
5849,Samuel Langhorne Clemens / Mark Twain,"Twain, Mark",Male
6775,Arthur Quiller-Couch,"Quiller-Couch, Arthur",Male
10223,J. R. Piroshnikoff,"Piroshnikoff, Joseph R.",Male
2237,George Antheil,"Antheil, George",Male
7691,Percival Christopher Wren,"Wren, Percival Christopher",Male
6326,H. Noel Williams,"Williams, Hugh Noel",Male
6314,A. K. Cook,"Cook, A. K.",Male
6318,August J. C. Hare,"Hare, Augustus J. C.",Male
2316,Joseph Beach,"Beach, Joseph",Male
7871,James Leslie Mitchell / Lewis Grassic Gibbon (pseudonym),"Gibbon, Lewis Grassic",Male
7890,George Sampson,"Sampson, George",Male
7525,Alfred Döblin,"Döblin, Alfred",Male
7573,Jean-Henri Fabre,"Fabre, Jean-Henri",Male
6179,Rupert Brooke,"Brooke, Rupert",Male
6042,James Branch Cabell,"Cabell, James Branch",Male
10405,Louis François Cazamian,"Cazamian, Louis François",Male
